species;normalized.distance;CA
Agrius_cingulata;1;48.80178571
Agrius_cingulata;2;47.71428571
Agrius_cingulata;3;47.2952381
Agrius_cingulata;4;46.36607143
Agrius_cingulata;5;45.68095238
Agrius_cingulata;6;45.9375
Agrius_cingulata;7;46.01875
Agrius_cingulata;8;44.75
Dolba_hyloeus;1;58.38333333
Dolba_hyloeus;2;51.8
Dolba_hyloeus;3;52.44333333
Dolba_hyloeus;4;50.4
Dolba_hyloeus;5;51.33333333
Dolba_hyloeus;6;52.89583333
Dolba_hyloeus;7;51.3125
Dolba_hyloeus;8;51.00833333
Darapsa_myron;1;90
Darapsa_myron;2;78.25
Darapsa_myron;3;65.75
Darapsa_myron;4;58
Darapsa_myron;5;53.75
Eumorpha_fasciatus;1;75.25
Eumorpha_fasciatus;2;71
Eumorpha_fasciatus;3;71.5
Eumorpha_fasciatus;4;68.5
Eumorpha_fasciatus;5;66.225
Eumorpha_fasciatus;6;66.94
Eumorpha_fasciatus;7;63.905
Eumorpha_pandorus;1;68
Eumorpha_pandorus;2;51.75
Eumorpha_pandorus;3;48
Eumorpha_pandorus;4;46
Eumorpha_pandorus;5;45.8
Enyo_lugubris;1;86
Enyo_lugubris;2;59
Enyo_lugubris;3;46.6
Enyo_lugubris;4;44.5
Enyo_lugubris;5;43.5
Hyles_lineata;1;90
Hyles_lineata;2;84.75
Hyles_lineata;3;67
Hyles_lineata;4;77.16666667
Hyles_lineata;5;69.66666667
Hyles_lineata;6;76.4
Hyles_lineata;7;55.33333333
Hemaris_thysbe;1;90
Hemaris_thysbe;2;81.43
Hemaris_thysbe;3;70.12
Hemaris_thysbe;4;63.08
Hemaris_thysbe;5;56.863
Manduca_quinquemaculata;1;54.3
Manduca_quinquemaculata;2;51.9
Manduca_quinquemaculata;3;51.4
Manduca_quinquemaculata;4;53.0
Manduca_quinquemaculata;5;52.3
Manduca_quinquemaculata;6;50.7
Manduca_rustica;1;53.51
Manduca_rustica;2;45.80766667
Manduca_rustica;3;49.155
Manduca_rustica;4;48.25
Manduca_rustica;5;48.72833333
Manduca_rustica;6;51.66
Manduca_rustica;7;43.37083333
Manduca_rustica;8;40.975
Manduca_sexta;1;67.34290476
Manduca_sexta;2;49.62354167
Manduca_sexta;3;50.62937143
Manduca_sexta;4;51.86585238
Manduca_sexta;5;49.32425
Paratrea_plebeja;1;43.26375
Paratrea_plebeja;2;50.27
Paratrea_plebeja;3;49.923
Paratrea_plebeja;4;48.065
Paratrea_plebeja;5;51.27833333
Paratrea_plebeja;6;47.68083333
Xylophanes_tersa;1;63.69
Xylophanes_tersa;2;52.865
Xylophanes_tersa;3;50.526
Xylophanes_tersa;4;49.8
Xylophanes_tersa;5;49.63
Xylophanes_tersa;5;47.67
Xylophanes_tersa;6;48.04375
